The 'absorption cross section' of Ozone at the relevant wavelength has been updated
by the BIPM (the international bureau of weights and measures) and reflected within
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%
and will dramatically improve measurement uncertainty - this change has been applied
to all data from 1 January 2025.
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:

Hourly measurement data supplied by UK-air on 10/01/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",,,,,,,,,,,,,,,,,
Latitude,,51.522530,,,,,,,,,,,,,,,,,,
Longitude,,-0.154611,,,,,,,,,,,,,,,,,,
Site Type,,Urban Traffic,,,,,,,,,,,,,,,,,,
Zone,,Greater London,,,,,,,,,,,,,,,,,,
Agglomeration,,Greater London Urban Area,,,,,,,,,,,,,,,,,,
Local Authority,,"Westminster",,,,,,,,,,,,,,,,,,
Date,Time,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2014-01-01,01:00:00,30.8003,V ugm-3,73.00904,V ugm-3,57.35333,V ugm-3,0.315886,V mgm-3,15.3,V ugm-3 (TEOM FDMS),10.396,V ugm-3 (TEOM FDMS),213.6,N deg,6.7,N ms-1,7.3,N degC
2014-01-01,02:00:00,18.36044,V ugm-3,118.63611,V ugm-3,105.162,V ugm-3,0.600339,V mgm-3,13.5,V ugm-3 (TEOM FDMS),8.986,V ugm-3 (TEOM FDMS),216.6,N deg,6.6,N ms-1,8.2,N degC
2014-01-01,03:00:00,12.72259,V ugm-3,133.9912,V ugm-3,108.66873,V ugm-3,0.550085,V mgm-3,23.1,V ugm-3 (TEOM FDMS),12.158,V ugm-3 (TEOM FDMS),220,N deg,6.3,N ms-1,8.7,N degC
2014-01-01,04:00:00,14.11958,V ugm-3,96.80981,V ugm-3,82.05486,V ugm-3,0.424351,V mgm-3,22.6,V ugm-3 (TEOM FDMS),8.986,V ugm-3 (TEOM FDMS),219.2,N deg,6,N ms-1,8.7,N degC
2014-01-01,05:00:00,16.76388,V ugm-3,89.4258,V ugm-3,73.1799,V ugm-3,0.356827,V mgm-3,23.7,V ugm-3 (TEOM FDMS),8.281,V ugm-3 (TEOM FDMS),216.5,N deg,6,N ms-1,8.8,N degC
2014-01-01,06:00:00,21.20431,V ugm-3,78.78134,V ugm-3,68.39865,V ugm-3,0.330633,V mgm-3,21.4,V ugm-3 (TEOM FDMS),8.017,V ugm-3 (TEOM FDMS),209.1,N deg,6.2,N ms-1,8.9,N degC
2014-01-01,07:00:00,16.86367,V ugm-3,98.94644,V ugm-3,68.70991,V ugm-3,0.386223,V mgm-3,22.9,V ugm-3 (TEOM FDMS),7.312,V ugm-3 (TEOM FDMS),201.9,N deg,6.4,N ms-1,8.9,N degC
2014-01-01,08:00:00,13.72044,V ugm-3,106.5927,V ugm-3,79.05271,V ugm-3,0.315789,V mgm-3,24.2,V ugm-3 (TEOM FDMS),7.048,V ugm-3 (TEOM FDMS),199.4,N deg,6.8,N ms-1,8.9,N degC
2014-01-01,09:00:00,20.25636,V ugm-3,87.47689,V ugm-3,64.65158,V ugm-3,0.289304,V mgm-3,21.7,V ugm-3 (TEOM FDMS),4.581,V ugm-3 (TEOM FDMS),194.6,N deg,7.2,N ms-1,8.9,N degC
2014-01-01,10:00:00,22.95055,V ugm-3,86.20277,V ugm-3,73.59969,V ugm-3,0.289304,V mgm-3,20.8,V ugm-3 (TEOM FDMS),5.374,V ugm-3 (TEOM FDMS),189.8,N deg,7.7,N ms-1,9.1,N degC
2014-01-01,11:00:00,25.09593,V ugm-3,84.96545,V ugm-3,67.59827,V ugm-3,0.257288,V mgm-3,18.4,V ugm-3 (TEOM FDMS),5.991,V ugm-3 (TEOM FDMS),187.3,N deg,9.1,N ms-1,9.2,N degC
2014-01-01,12:00:00,24.54711,V ugm-3,92.72428,V ugm-3,72.64392,V ugm-3,0.263109,V mgm-3,11.5,V ugm-3 (TEOM FDMS),5.022,V ugm-3 (TEOM FDMS),185.5,N deg,10,N ms-1,9.2,N degC
2014-01-01,13:00:00,19.3084,V ugm-3,106.81721,V ugm-3,76.59849,V ugm-3,0.327722,V mgm-3,9.4,V ugm-3 (TEOM FDMS),7.753,V ugm-3 (TEOM FDMS),188.8,N deg,10.5,N ms-1,9.5,N degC
2014-01-01,14:00:00,18.01119,V ugm-3,108.54161,V ugm-3,80.52629,V ugm-3,0.330633,V mgm-3,10.7,V ugm-3 (TEOM FDMS),4.581,V ugm-3 (TEOM FDMS),194.1,N deg,10.7,N ms-1,9.9,N degC
2014-01-01,15:00:00,15.16732,V ugm-3,107.41716,V ugm-3,76.7032,V ugm-3,0.392044,V mgm-3,13.6,V ugm-3 (TEOM FDMS),6.519,V ugm-3 (TEOM FDMS),199.1,N deg,10.6,N ms-1,10.2,N degC
2014-01-01,16:00:00,16.71399,V ugm-3,102.43202,V ugm-3,77.89565,V ugm-3,0.341984,V mgm-3,17,V ugm-3 (TEOM FDMS),8.281,V ugm-3 (TEOM FDMS),202.5,N deg,9.9,N ms-1,10.5,N degC
2014-01-01,17:00:00,14.11958,V ugm-3,109.70378,V ugm-3,84.10984,V ugm-3,0.339073,V mgm-3,14.9,V ugm-3 (TEOM FDMS),6.696,V ugm-3 (TEOM FDMS),203.6,N deg,9.4,N ms-1,10.7,N degC
2014-01-01,18:00:00,14.11958,V ugm-3,114.72603,V ugm-3,84.66924,V ugm-3,0.418239,V mgm-3,10.7,V ugm-3 (TEOM FDMS),7.4,V ugm-3 (TEOM FDMS),205.1,N deg,9.1,N ms-1,10.9,N degC
2014-01-01,19:00:00,15.11743,V ugm-3,104.64379,V ugm-3,72.87629,V ugm-3,0.392335,V mgm-3,14.1,V ugm-3 (TEOM FDMS),9.25,V ugm-3 (TEOM FDMS),209.1,N deg,8.5,N ms-1,11.3,N degC
2014-01-01,20:00:00,19.50797,V ugm-3,101.12017,V ugm-3,69.89901,V ugm-3,0.398156,V mgm-3,16.9,V ugm-3 (TEOM FDMS),9.339,V ugm-3 (TEOM FDMS),212.4,N deg,8.3,N ms-1,11.5,N degC
2014-01-01,21:00:00,21.70324,V ugm-3,99.43351,V ugm-3,68.56647,V ugm-3,0.401067,V mgm-3,21.4,V ugm-3 (TEOM FDMS),7.577,V ugm-3 (TEOM FDMS),213.7,N deg,8.2,N ms-1,11.5,N degC
2014-01-01,22:00:00,32.43012,V ugm-3,75.74541,V ugm-3,65.75844,V ugm-3,0.295125,V mgm-3,12,V ugm-3 (TEOM FDMS),8.986,V ugm-3 (TEOM FDMS),216.5,N deg,8,N ms-1,11.4,N degC
2014-01-01,23:00:00,29.88561,V ugm-3,73.42169,V ugm-3,60.27722,V ugm-3,0.36585,V mgm-3,17.8,V ugm-3 (TEOM FDMS),6.96,V ugm-3 (TEOM FDMS),217.6,N deg,7.9,N ms-1,11.2,N degC
2014-01-01,24:00:00,35.87271,V ugm-3,64.72614,V ugm-3,55.58299,V ugm-3,0.324521,V mgm-3,21,V ugm-3 (TEOM FDMS),4.317,V ugm-3 (TEOM FDMS),218.7,N deg,7.7,N ms-1,11,N degC
2014-01-02,01:00:00,35.32389,V ugm-3,66.62287,V ugm-3,62.08039,V ugm-3,0.331409,V mgm-3,22.4,V ugm-3 (TEOM FDMS),6.079,V ugm-3 (TEOM FDMS),216.5,N deg,6.9,N ms-1,9.1,N degC
2014-01-02,02:00:00,50.02555,V ugm-3,50.68071,V ugm-3,41.98894,V ugm-3,0.241766,V mgm-3,16.6,V ugm-3 (TEOM FDMS),5.198,V ugm-3 (TEOM FDMS),219.7,N deg,6.6,N ms-1,9.1,N degC
2014-01-02,03:00:00,49.59315,V ugm-3,44.00911,V ugm-3,40.20123,V ugm-3,0.225273,V mgm-3,7.8,V ugm-3 (TEOM FDMS),1.938,V ugm-3 (TEOM FDMS),231.9,N deg,5.7,N ms-1,9.1,N degC
2014-01-02,04:00:00,38.21766,V ugm-3,51.16799,V ugm-3,47.25118,V ugm-3,0.263109,V mgm-3,10.1,V ugm-3 (TEOM FDMS),2.731,V ugm-3 (TEOM FDMS),265.2,N deg,5,N ms-1,8.9,N degC
2014-01-02,05:00:00,30.48432,V ugm-3,57.53982,V ugm-3,55.44863,V ugm-3,0.239825,V mgm-3,11.6,V ugm-3 (TEOM FDMS),3.612,V ugm-3 (TEOM FDMS),268.7,N deg,4.7,N ms-1,8.3,N degC
2014-01-02,06:00:00,17.56216,V ugm-3,82.7649,V ugm-3,64.883,V ugm-3,0.312879,V mgm-3,9.4,V ugm-3 (TEOM FDMS),4.934,V ugm-3 (TEOM FDMS),268.7,N deg,4.9,N ms-1,7.2,N degC
2014-01-02,07:00:00,6.03699,V ugm-3,186.66343,V ugm-3,96.39669,V ugm-3,0.602765,V mgm-3,18,V ugm-3 (TEOM FDMS),9.955,V ugm-3 (TEOM FDMS),261.2,N deg,5.1,N ms-1,6.9,N degC
2014-01-02,08:00:00,4.6899,V ugm-3,262.60031,V ugm-3,118.02946,V ugm-3,0.649333,V mgm-3,23.3,V ugm-3 (TEOM FDMS),10.924,V ugm-3 (TEOM FDMS),253.9,N deg,5.1,N ms-1,6.6,N degC
2014-01-02,09:00:00,4.39054,V ugm-3,325.68157,V ugm-3,117.47149,V ugm-3,0.763133,V mgm-3,20.4,V ugm-3 (TEOM FDMS),13.303,V ugm-3 (TEOM FDMS),248.9,N deg,4.7,N ms-1,6.6,N degC
2014-01-02,10:00:00,4.93936,V ugm-3,321.89601,V ugm-3,131.47529,V ugm-3,0.646422,V mgm-3,22.7,V ugm-3 (TEOM FDMS),12.51,V ugm-3 (TEOM FDMS),242.4,N deg,4.4,N ms-1,7.5,N degC
2014-01-02,11:00:00,6.83527,V ugm-3,294.79717,V ugm-3,117.73924,V ugm-3,0.587921,V mgm-3,19,V ugm-3 (TEOM FDMS),14.272,V ugm-3 (TEOM FDMS),234.1,N deg,4,N ms-1,8.5,N degC
2014-01-02,12:00:00,7.13463,V ugm-3,264.77435,V ugm-3,120.30342,V ugm-3,0.488382,V mgm-3,27.8,V ugm-3 (TEOM FDMS),10.396,V ugm-3 (TEOM FDMS),237.2,N deg,4.6,N ms-1,9.6,N degC
2014-01-02,13:00:00,10.52732,V ugm-3,226.8056,V ugm-3,117.68712,V ugm-3,0.491583,V mgm-3,28.6,V ugm-3 (TEOM FDMS),12.774,V ugm-3 (TEOM FDMS),224.6,N deg,3.6,N ms-1,9.7,N degC
2014-01-02,14:00:00,11.72474,V ugm-3,217.39784,V ugm-3,108.17626,V ugm-3,0.462187,V mgm-3,26.9,V ugm-3 (TEOM FDMS),15.77,V ugm-3 (TEOM FDMS),232.7,N deg,5.4,N ms-1,9.7,N degC
2014-01-02,15:00:00,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,36.1,V ugm-3 (TEOM FDMS),15.065,V ugm-3 (TEOM FDMS),229.3,N deg,5.1,N ms-1,9.1,N degC
