date,day_category,time,O3,NO,NO2,CO,wind_dir,wind_speed,temp,PM10,PM2.5
2019-01-01,0,01:00:00,27.54066,27.59697,52.38422,0.251524,259.3,2.3,5.5,26.3,20.4
2019-01-01,0,02:00:00,32.26382,23.98922,46.65609,0.251524,269.4,2.6,4.6,20.7,20.1
2019-01-01,0,03:00:00,38.5669,21.5411,43.57085,0.215171,280.5,3,4.4,12.5,9.7
2019-01-01,0,04:00:00,48.49551,10.40157,25.62631,0.173905,287,2.7,4.1,10.8,8.9
2019-01-01,0,05:00:00,34.92475,16.79714,40.18036,0.250542,291.5,3,4,11.1,9.9
2019-01-01,0,06:00:00,12.02409,68.20763,69.51244,0.442132,294.3,3.2,5,18.7,11.1
2019-01-01,0,07:00:00,12.07399,61.10926,73.03419,0.394971,306.9,3.2,5.7,17.5,8.7
2019-01-01,0,08:00:00,12.37334,55.87333,55.9983,0.362548,302.5,2.3,6,13.2,13.8
2019-01-01,0,09:00:00,10.52732,72.42448,69.218,0.415603,298.5,2.5,6.4,14.3,8.7
2019-01-01,0,10:00:00,9.3299,66.66145,66.79459,0.377286,299.3,2.6,6.8,19.5,4.8
2019-01-01,0,11:00:00,17.86152,33.66456,55.02636,0.250542,291.4,2.6,7.5,12.5,11.1
2019-01-01,0,12:00:00,30.73378,21.68166,39.07872,0.162115,312.4,2.9,8.1,14.1,6.1
2019-01-01,0,13:00:00,39.76432,10.6827,24.70805,0.091373,330.3,2.7,8.2,11.1,6.4
2019-01-01,0,14:00:00,38.96604,12.75599,26.1846,0.082531,328.9,2.3,8.1,12.8,8.3
2019-01-01,0,15:00:00,30.634,15.49694,33.56661,0.106112,317.8,2.2,7.9,12.1,11
2019-01-01,0,16:00:00,30.48432,12.82627,35.06314,0.112007,342.2,2.3,6.1,11.4,8.6
2019-01-01,0,17:00:00,34.87486,14.33731,31.50116,0.144429,352.6,2.3,4.6,12.9,9.5
2019-01-01,0,18:00:00,44.90325,9.52306,31.9537,0.262332,359.5,2.8,4,14.1,9.3
2019-01-01,0,19:00:00,43.80562,8.15259,27.72135,0.268227,2,2.7,3.6,15.9,9.2
2019-01-01,0,20:00:00,45.45207,5.69276,25.64653,0.315388,357.1,2.5,2.9,12.4,8.7
2019-01-01,0,21:00:00,44.40433,5.27107,22.93678,0.333073,355,2.3,2.3,10.7,7.9
2019-01-01,0,22:00:00,44.50411,7.97688,24.63443,0.365496,350.6,2.2,1.6,10,6.9
2019-01-01,0,23:00:00,44.50411,9.90961,30.49486,0.400865,6.2,2.1,1.4,12.5,7.2
2019-01-01,0,24:00:00,46.89895,6.78211,24.78823,0.392023,11.2,2.5,1.2,11.9,5.3
2019-01-02,0,01:00:00,49.49336,5.01339,23.14487,0.066772,351.6,2.6,2.6,10.9,9.3
2019-01-02,0,02:00:00,47.23157,7.07497,21.86118,0.082482,357,3,1.9,10.1,7.2
